id,sku,name,brand,reference,equivalentReference,category,description,image,alt,source,sourcePage,status
partmo-a-339,A-339,Filtro de aceite Partmo A-339,Partmo,A-339,51607,Filtros de aceite,Filtro Aceite Flujo Completo motores Cummins / Case 6 Cilindros,/catalogo-filtros-diesel/partmo-a-339-filtro-aceite.png,"Filtro de aceite Partmo A-339, referencia A-339, equivalencia 51607",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-342,A-342,Filtro hidráulico Partmo A-342,Partmo,A-342,51158,Filtros hidráulicos,"Filtro Aceite Hidráulico Ford Tractores LT11, LT110, LT111, LT11H, LT75, LT8 , T80, LT81, LT85, 4100, 4600, 5600",/catalogo-filtros-diesel/partmo-a-342-filtro-hidraulico.png,"Filtro hidráulico Partmo A-342, referencia A-342, equivalencia 51158",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-343,A-343,Filtro de aceite Partmo A-343,Partmo,A-343,51776,Filtros de aceite,"Filtro Aceite Flujo Completo Equipos Ford, Tractores Tw5, Tw10 20,24/Diesel,Tw15,Tw25",/catalogo-filtros-diesel/partmo-a-343-filtro-aceite.png,"Filtro de aceite Partmo A-343, referencia A-343, equivalencia 51776",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-349,A-349,Filtro de aceite Partmo A-349,Partmo,A-349,51832,Filtros de aceite,"Filtro Aceite Flujo Completo Fiat: Tractores 8365, 1580, 1580Dt",/catalogo-filtros-diesel/partmo-a-349-filtro-aceite.png,"Filtro de aceite Partmo A-349, referencia A-349, equivalencia 51832",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-354,A-354,Filtro de aceite Partmo A-354,Partmo,A-354,51712,Filtros de aceite,Filtro Aceite Flujo Completo Camiones Ford 8000 Electrónico (01-02) Misil,/catalogo-filtros-diesel/partmo-a-354-filtro-aceite.png,"Filtro de aceite Partmo A-354, referencia A-354, equivalencia 51712",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-355,A-355,Filtro de aceite Partmo A-355,Partmo,A-355,51774,Filtros de aceite,Filtro Aceite Flujo Completo Tractores Ford Tw30,/catalogo-filtros-diesel/partmo-a-355-filtro-aceite.png,"Filtro de aceite Partmo A-355, referencia A-355, equivalencia 51774",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-355c,A-355C,Filtro de aceite Partmo A-355C,Partmo,A-355C,51774,Filtros de aceite,Filtro Aceite Flujo Completo Tractores Ford Tw30,/catalogo-filtros-diesel/partmo-a-355c-filtro-aceite.png,"Filtro de aceite Partmo A-355C, referencia A-355C, equivalencia 51774",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-371-10,A-371-10,Filtro hidráulico Partmo A-371-10,Partmo,A-371-10,51203,Filtros hidráulicos,"Filtro Aceite Hidráulico CASE equipos p/construcción W4, perforadoras DH4B, Tractores 3588",/catalogo-filtros-diesel/partmo-a-371-10-filtro-hidraulico.png,"Filtro hidráulico Partmo A-371-10, referencia A-371-10, equivalencia 51203",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-4041,A-4041,Filtro de aceite Partmo A-4041,Partmo,A-4041,51785,Filtros de aceite,Filtro Aceite auto y camperos Suzuki 4 tiempos / Daewoo Matiz,/catalogo-filtros-diesel/partmo-a-4041-filtro-aceite.png,"Filtro de aceite Partmo A-4041, referencia A-4041, equivalencia 51785",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-4048,A-4048,Filtro de aceite Partmo A-4048,Partmo,A-4048,51725 / 51829,Filtros de aceite,Filtro Aceite Flujo Completo Camiones Mazda Turbo T-45 Diesel (HINO DUTRO300),/catalogo-filtros-diesel/partmo-a-4048-filtro-aceite.png,"Filtro de aceite Partmo A-4048, referencia A-4048, equivalencia 51725 / 51829",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-4049,A-4049,Filtro de aceite Partmo A-4049,Partmo,A-4049,51999,Filtros de aceite,Filtro Aceite Flujo Parcial Camiones Mazda Turbo T-45 Diesel,/catalogo-filtros-diesel/partmo-a-4049-filtro-aceite.png,"Filtro de aceite Partmo A-4049, referencia A-4049, equivalencia 51999",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-4051,A-4051,Filtro de aceite Partmo A-4051,Partmo,A-4051,NPR 22x1.5,Filtros de aceite,Filtro Aceite Flujo Completo Camiones NPR-NA 5.9L Chevrolet,/catalogo-filtros-diesel/partmo-a-4051-filtro-aceite.png,"Filtro de aceite Partmo A-4051, referencia A-4051, equivalencia NPR 22x1.5",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-4052,A-4052,Filtro de aceite Partmo A-4052,Partmo,A-4052,51389,Filtros de aceite,Filtro Aceite Flujo Parcial Camiones NPR-NA 5.9L Chevrolet,/catalogo-filtros-diesel/partmo-a-4052-filtro-aceite.png,"Filtro de aceite Partmo A-4052, referencia A-4052, equivalencia 51389",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-408,A-408,Filtro de aceite Partmo A-408,Partmo,A-408,51799,Filtros de aceite,"Filtro Aceite Flujo Completo International Camiones 4700 Diesel/DT466, DT408",/catalogo-filtros-diesel/partmo-a-408-filtro-aceite.png,"Filtro de aceite Partmo A-408, referencia A-408, equivalencia 51799",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-427,A-427,Filtro de aceite Partmo A-427,Partmo,A-427,51602,Filtros de aceite,Filtro Aceite Flujo Completo Motores Cummins Case 4 Cilindros (CARGO 815) JAC HK6730,/catalogo-filtros-diesel/partmo-a-427-filtro-aceite.png,"Filtro de aceite Partmo A-427, referencia A-427, equivalencia 51602",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-432,A-432,Filtro de aceite Partmo A-432,Partmo,A-432,,Filtros de aceite,Filtro Aceite Flujo Completo Motores Isuzu Diesel 4Bd1,/catalogo-filtros-diesel/partmo-a-432-filtro-aceite.png,"Filtro de aceite Partmo A-432, referencia A-432",98590929-Catalogo-de-Filtros-Diesel.pdf,3,ready
partmo-a-4731,A-4731,Filtro de aceite Partmo A-4731,Partmo,A-4731,51386,Filtros de aceite,Filtro Aceite Flujo Completo Camiones Hyundai Turbo 4.5Lts Diesel Chorus H250,/catalogo-filtros-diesel/partmo-a-4731-filtro-aceite.png,"Filtro de aceite Partmo A-4731, referencia A-4731, equivalencia 51386",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-447,A-447,Filtro de aceite Partmo A-447,Partmo,A-447,51596,Filtros de aceite,Filtro Aceite Flujo Completo JAC camiones KING CAB 4.5,/catalogo-filtros-diesel/partmo-a-447-filtro-aceite.png,"Filtro de aceite Partmo A-447, referencia A-447, equivalencia 51596",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-48,A-48,Filtro de aceite Partmo A-48,Partmo,A-48,51275,Filtros de aceite,Filtro Aceite Flujo Completo Tractores Inter Harvester; Tractores Case 1150/1150B,/catalogo-filtros-diesel/partmo-a-48-filtro-aceite.png,"Filtro de aceite Partmo A-48, referencia A-48, equivalencia 51275",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-494,A-494,Filtro de aceite Partmo A-494,Partmo,A-494,,Filtros de aceite,Filtro Aceite Flujo Parcial Isuzu: Camión NPR con/W 4Bd1T,/catalogo-filtros-diesel/partmo-a-494-filtro-aceite.png,"Filtro de aceite Partmo A-494, referencia A-494",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-495,A-495,Filtro de aceite Partmo A-495,Partmo,A-495,51971,Filtros de aceite,"Filtro Aceite Flujo Completo Detroit Diesel Motores Serie 50, 60 Freightliner CL120, International Eagle",/catalogo-filtros-diesel/partmo-a-495-filtro-aceite.png,"Filtro de aceite Partmo A-495, referencia A-495, equivalencia 51971",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-54,A-54,Filtro de aceite Partmo A-54,Partmo,A-54,51261,Filtros de aceite,"Filtro Aceite Flujo Completo Ford C-700, F700, Ln7000, F8000 F9000, CAT D4",/catalogo-filtros-diesel/partmo-a-54-filtro-aceite.png,"Filtro de aceite Partmo A-54, referencia A-54, equivalencia 51261",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-6000,A-6000,Filtro hidráulico Partmo A-6000,Partmo,A-6000,LFH-8882 / 30606000,Filtros hidráulicos,"Filtro Aceite Hidráulico VALMET Tractores 1180, 1380; equipos BM 100, 110, 120",/catalogo-filtros-diesel/partmo-a-6000-filtro-hidraulico.png,"Filtro hidráulico Partmo A-6000, referencia A-6000, equivalencia LFH-8882 / 30606000",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-67,A-67,Filtro de aceite Partmo A-67,Partmo,A-67,51791,Filtros de aceite,Filtro Aceite Flujo Completo Mack 485 Gb- 3191; Caterpillar 2P- 4004,/catalogo-filtros-diesel/partmo-a-67-filtro-aceite.png,"Filtro de aceite Partmo A-67, referencia A-67, equivalencia 51791",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-69,A-69,Filtro de aceite Partmo A-69,Partmo,A-69,51792,Filtros de aceite,Filtro Aceite Flujo Completo Motores Caterpillar 2P 4005,/catalogo-filtros-diesel/partmo-a-69-filtro-aceite.png,"Filtro de aceite Partmo A-69, referencia A-69, equivalencia 51792",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-7039,A-7039,Filtro de aceite Partmo A-7039,Partmo,A-7039,51734,Filtros de aceite,"Filtro Aceite Flujo Completo International 4700 / T444E. Hino Camiones PJ, FF",/catalogo-filtros-diesel/partmo-a-7039-filtro-aceite.png,"Filtro de aceite Partmo A-7039, referencia A-7039, equivalencia 51734",98590929-Catalogo-de-Filtros-Diesel.pdf,4,ready
partmo-a-710,A-710,Filtro de aceite Partmo A-710,Partmo,A-710,51710,Filtros de aceite,"Filtro Aceite Flujo Completo Pegaso, Camiones Venezolanos (FVR-FTR)",/catalogo-filtros-diesel/partmo-a-710-filtro-aceite.png,"Filtro de aceite Partmo A-710, referencia A-710, equivalencia 51710",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-7125,A-7125,Filtro de aceite Partmo A-7125,Partmo,A-7125,57243,Filtros de aceite,"Filtro Aceite Flujo Completo John Deere Esparsoras Serie 6700, 6700S",/catalogo-filtros-diesel/partmo-a-7125-filtro-aceite.png,"Filtro de aceite Partmo A-7125, referencia A-7125, equivalencia 57243",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-7133,A-7133,Filtro de aceite Partmo A-7133,Partmo,A-7133,57580 / B7179,Filtros de aceite,"Filtro Aceite Flujo Completo Caterpillar Challenger Mt635, Mt645",/catalogo-filtros-diesel/partmo-a-7133-filtro-aceite.png,"Filtro de aceite Partmo A-7133, referencia A-7133, equivalencia 57580 / B7179",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-7685,A-7685,Filtro de aceite Partmo A-7685,Partmo,A-7685,51660,Filtros de aceite,"Filtro Aceite Flujo Parcial Volvo Buses camiones Mod. FI7, FI10, Fs10, F16, Fh16",/catalogo-filtros-diesel/partmo-a-7685-filtro-aceite.png,"Filtro de aceite Partmo A-7685, referencia A-7685, equivalencia 51660",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-777,A-777,Filtro de aceite Partmo A-777,Partmo,A-777,51749,Filtros de aceite,Filtro Aceite Flujo Parcial Chevroler Super Brigadier / Cummins,/catalogo-filtros-diesel/partmo-a-777-filtro-aceite.png,"Filtro de aceite Partmo A-777, referencia A-777, equivalencia 51749",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-810,A-810,Filtro de aceite Partmo A-810,Partmo,A-810,Chengdu JX0810,Filtros de aceite,Filtro Aceite Flujo Completo Chencai - Chengdu Camiones Pequeños Serie 490,/catalogo-filtros-diesel/partmo-a-810-filtro-aceite.png,"Filtro de aceite Partmo A-810, referencia A-810, equivalencia Chengdu JX0810",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-812,A-812,Filtro de aceite Partmo A-812,Partmo,A-812,,Filtros de aceite,Filtro Aceite Flujo Completo Chencai - Chengdu Camiones Pequeños Serie 490,/catalogo-filtros-diesel/partmo-a-812-filtro-aceite.png,"Filtro de aceite Partmo A-812, referencia A-812",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-84,A-84,Filtro de aceite Partmo A-84,Partmo,A-84,51794,Filtros de aceite,Filtro Aceite Flujo Completo Chevrolet B- 60 y C-70; Camiones GMC 1973 KODIAK Gasolina V8- 6000,/catalogo-filtros-diesel/partmo-a-84-filtro-aceite.png,"Filtro de aceite Partmo A-84, referencia A-84, equivalencia 51794",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-840,A-840,Filtro de aceite Partmo A-840,Partmo,A-840,51825,Filtros de aceite,Filtro Aceite Flujo Completo Agrale: Microbus Ma 6.0 TCA VOLKSWAGEN Serie 15- 17,/catalogo-filtros-diesel/partmo-a-840-filtro-aceite.png,"Filtro de aceite Partmo A-840, referencia A-840, equivalencia 51825",98590929-Catalogo-de-Filtros-Diesel.pdf,5,ready
partmo-a-988,A-988,Filtro de aceite Partmo A-988,Partmo,A-988,51988,Filtros de aceite,Filtro Aceite Flujo Completo Isuzu: Camiones / Diesel,/catalogo-filtros-diesel/partmo-a-988-filtro-aceite.png,"Filtro de aceite Partmo A-988, referencia A-988, equivalencia 51988",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-a-9n5570,A-9N5570,Filtro de aceite Partmo A-9N5570,Partmo,A-9N5570,51268,Filtros de aceite,Filtro Aceite Flujo Completo Tractores de rueda Caterpillar Mod. 613 B (F8000-F9000 CAT),/catalogo-filtros-diesel/partmo-a-9n5570-filtro-aceite.png,"Filtro de aceite Partmo A-9N5570, referencia A-9N5570, equivalencia 51268",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-a-9n6007,A-9N6007,Filtro de aceite Partmo A-9N6007,Partmo,A-9N6007,51376,Filtros de aceite,Filtro Aceite Flujo Completo Detroit Diesel. Caterpillar 9N-6007,/catalogo-filtros-diesel/partmo-a-9n6007-filtro-aceite.png,"Filtro de aceite Partmo A-9N6007, referencia A-9N6007, equivalencia 51376",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-ad-092,AD-092,Filtro de aceite Partmo AD-092,Partmo,AD-092,51067,Filtros de aceite,Filtro Aceite Flujo Dual Kia Hi Besta 2.7Lts Diesel,/catalogo-filtros-diesel/partmo-ad-092-filtro-aceite.png,"Filtro de aceite Partmo AD-092, referencia AD-092, equivalencia 51067",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-ad-1403,AD-1403,Filtro de aceite Partmo AD-1403,Partmo,AD-1403,51674,Filtros de aceite,"Filtro Aceite Flujo Dual Nissan Camiones Turbo Ud2600, Ud2800",/catalogo-filtros-diesel/partmo-ad-1403-filtro-aceite.png,"Filtro de aceite Partmo AD-1403, referencia AD-1403, equivalencia 51674",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-ad-142,AD-142,Filtro de aceite Partmo AD-142,Partmo,AD-142,51094 / 59209,Filtros de aceite,Filtro Aceite Flujo Dual Chevrolet camiones Serie NKR / Isuzu,/catalogo-filtros-diesel/partmo-ad-142-filtro-aceite.png,"Filtro de aceite Partmo AD-142, referencia AD-142, equivalencia 51094 / 59209",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-ad-232,AD-232,Filtro de aceite Partmo AD-232,Partmo,AD-232,51431,Filtros de aceite,"Filtro Aceite Flujo Dual Camiones y Microbuses Iveco, Equipos Fiat 4748410",/catalogo-filtros-diesel/partmo-ad-232-filtro-aceite.png,"Filtro de aceite Partmo AD-232, referencia AD-232, equivalencia 51431",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-ad-2700,AD-2700,Filtro de aceite Partmo AD-2700,Partmo,AD-2700,57521,Filtros de aceite,Filtro Aceite Flujo Dual Motores Isuzu Ref. 8971482700,/catalogo-filtros-diesel/partmo-ad-2700-filtro-aceite.png,"Filtro de aceite Partmo AD-2700, referencia AD-2700, equivalencia 57521",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-ad-3000,AD-3000,Filtro de aceite Partmo AD-3000,Partmo,AD-3000,51748,Filtros de aceite,"Filtro Aceite Flujo Dual Motores Cummins: L-10, Lt-10A",/catalogo-filtros-diesel/partmo-ad-3000-filtro-aceite.png,"Filtro de aceite Partmo AD-3000, referencia AD-3000, equivalencia 51748",98590929-Catalogo-de-Filtros-Diesel.pdf,6,ready
partmo-ad-324,AD-324,Filtro de aceite Partmo AD-324,Partmo,AD-324,51741,Filtros de aceite,Filtro Aceite Flujo Dual Combinadas y Cargadores CASE,/catalogo-filtros-diesel/partmo-ad-324-filtro-aceite.png,"Filtro de aceite Partmo AD-324, referencia AD-324, equivalencia 51741",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-325,AD-325,Filtro de aceite Partmo AD-325,Partmo,AD-325,51429,Filtros de aceite,Filtro Aceite Flujo Dual Iveco: Camiones Euro Cargo 150E23/8060TCA/150E27/8360TCA,/catalogo-filtros-diesel/partmo-ad-325-filtro-aceite.png,"Filtro de aceite Partmo AD-325, referencia AD-325, equivalencia 51429",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-7029,AD-7029,Filtro de aceite Partmo AD-7029,Partmo,AD-7029,51369,Filtros de aceite,"Filtro Aceite Flujo Dual Daihatsu: Delta y Super Delta V126, V128",/catalogo-filtros-diesel/partmo-ad-7029-filtro-aceite.png,"Filtro de aceite Partmo AD-7029, referencia AD-7029, equivalencia 51369",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-7041,AD-7041,Filtro de aceite Partmo AD-7041,Partmo,AD-7041,51673,Filtros de aceite,Filtro Aceite Flujo Dual Chevrolet NPR 100,/catalogo-filtros-diesel/partmo-ad-7041-filtro-aceite.png,"Filtro de aceite Partmo AD-7041, referencia AD-7041, equivalencia 51673",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-7095,AD-7095,Filtro de aceite Partmo AD-7095,Partmo,AD-7095,51809,Filtros de aceite,Filtro Aceite Flujo Dual Thermokin; Unidades de refrigeración Super Li Sr; Sb lii Max,/catalogo-filtros-diesel/partmo-ad-7095-filtro-aceite.png,"Filtro de aceite Partmo AD-7095, referencia AD-7095, equivalencia 51809",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-7105,AD-7105,Filtro de aceite Partmo AD-7105,Partmo,AD-7105,57080,Filtros de aceite,Filtro Aceite Flujo Dual Hino Busetas Fb 4J,/catalogo-filtros-diesel/partmo-ad-7105-filtro-aceite.png,"Filtro de aceite Partmo AD-7105, referencia AD-7105, equivalencia 57080",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-7158,AD-7158,Filtro de aceite Partmo AD-7158,Partmo,AD-7158,57034,Filtros de aceite,Filtro Aceite Flujo Dual Excavadoras Caterpillar 311,/catalogo-filtros-diesel/partmo-ad-7158-filtro-aceite.png,"Filtro de aceite Partmo AD-7158, referencia AD-7158, equivalencia 57034",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-7166,AD-7166,Filtro de aceite Partmo AD-7166,Partmo,AD-7166,51673 / 51833,Filtros de aceite,"Filtro Aceite Flujo Dual camiones GMC, Motores Isuzu NPR (01-2)",/catalogo-filtros-diesel/partmo-ad-7166-filtro-aceite.png,"Filtro de aceite Partmo AD-7166, referencia AD-7166, equivalencia 51673 / 51833",98590929-Catalogo-de-Filtros-Diesel.pdf,7,ready
partmo-ad-9001,AD-9001,Filtro de aceite Partmo AD-9001,Partmo,AD-9001,57746,Filtros de aceite,"Filtro Aceite Flujo Dual Kenworth Tractocamión T2000, W900L-W / CUM ISX",,"Filtro de aceite Partmo AD-9001, referencia AD-9001, equivalencia 57746",98590929-Catalogo-de-Filtros-Diesel.pdf,8,missing-source-image
partmo-ar-17,AR-17,Filtro de aceite Partmo AR-17,Partmo,AR-17,51459,Filtros de aceite,Filtro Aceite Flujo Completo Tractores y Combinadas Massey Ferguson / Perkins,/catalogo-filtros-diesel/partmo-ar-17-filtro-aceite.png,"Filtro de aceite Partmo AR-17, referencia AR-17, equivalencia 51459",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-ar-29,AR-29,Filtro de aceite Partmo AR-29,Partmo,AR-29,51758,Filtros de aceite,Filtro Aceite Flujo Completo Tractores Jhon Deere 7020 y Case W10,/catalogo-filtros-diesel/partmo-ar-29-filtro-aceite.png,"Filtro de aceite Partmo AR-29, referencia AR-29, equivalencia 51758",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-a-91t1,A-91T1,Filtro hidráulico Partmo A-91T1,Partmo,A-91T1,51861,Filtros hidráulicos,"Filtro Aceite Hidráulico John Deere Buldozer 750B, 850B",/catalogo-filtros-diesel/partmo-a-91t1-filtro-hidraulico.png,"Filtro hidráulico Partmo A-91T1, referencia A-91T1, equivalencia 51861",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-a-1480,A-1480,Filtro de aceite Partmo A-1480,Partmo,A-1480,57400,Filtros de aceite,Filtro Aceite Flujo Completo Hino Sencillo,/catalogo-filtros-diesel/partmo-a-1480-filtro-aceite.png,"Filtro de aceite Partmo A-1480, referencia A-1480, equivalencia 57400",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-a-299,A-299,Filtro de aceite Partmo A-299,Partmo,A-299,,Filtros de aceite,"Filtro Aceite Flujo Completo Equipos Internacional / Dt360, Combinada 1440 / Inc Dt360",/catalogo-filtros-diesel/partmo-a-299-filtro-aceite.png,"Filtro de aceite Partmo A-299, referencia A-299",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-a-50,A-50,Filtro de aceite Partmo A-50,Partmo,A-50,51050,Filtros de aceite,Filtro Aceite Flujo Parcial Massey Ferguson Tractor Cargador Mf20C; Mf30B,/catalogo-filtros-diesel/partmo-a-50-filtro-aceite.png,"Filtro de aceite Partmo A-50, referencia A-50, equivalencia 51050",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-ad-4271,AD-4271,Filtro de aceite Partmo AD-4271,Partmo,AD-4271,,Filtros de aceite,"Filtro Aceite Flujo Dual Isuzu: Busetas, Microbuses y Camiones Pequeños NKR 2001",/catalogo-filtros-diesel/partmo-ad-4271-filtro-aceite.png,"Filtro de aceite Partmo AD-4271, referencia AD-4271",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-pm-197,PM-197,Filtro de aceite Partmo PM-197,Partmo,PM-197,51133,Filtros de aceite,Filtro Aceite Flujo Completo Chevrolet Buses y Camiones 1962/74 V-8 Diesel,/catalogo-filtros-diesel/partmo-pm-197-filtro-aceite.png,"Filtro de aceite Partmo PM-197, referencia PM-197, equivalencia 51133",98590929-Catalogo-de-Filtros-Diesel.pdf,8,ready
partmo-pm-5s484,PM-5S484,Filtro de aceite Partmo PM-5S484,Partmo,PM-5S484,51161,Filtros de aceite,Filtro Aceite Flujo Completo Motores Caterpillar 1673,/catalogo-filtros-diesel/partmo-pm-5s484-filtro-aceite.png,"Filtro de aceite Partmo PM-5S484, referencia PM-5S484, equivalencia 51161",98590929-Catalogo-de-Filtros-Diesel.pdf,9,ready
